14652 1633 5.0
14652 1969 3.0
14652 2017 127.0
14652 3685 4.0
14652 10064 7.0
14652 14641 268.0
14652 16128 44.0
14652 18870 3.0
14652 460 119.0
14652 2827 211.0
14652 2503 33.0
14652 4798 1.0
14652 5146 1.0
14652 9314 1.0
14652 10186 1.0
14652 14159 1.0
14652 15571 1.0
14652 16827 1.0
14652 2528 1.0
14652 20838 1.0
14652 22619 40.0
14652 9940 25.0
14652 6025 5.0
14652 16138 105.0
14652 1164 11.0
14652 1615 54.0
14652 2030 70.0
14652 11781 147.0
14652 6706 21.0
14652 16124 1.0
14652 6673 4.0
14652 6679 18.0
14652 11734 4.0
14652 14643 5.0
14652 1335 23.0
14652 18697 35.0
14652 21593 1.0
14652 7733 7.0
14652 18132 6.0
14652 18687 1.0
14652 22198 2.0
14652 2832 3.0
14652 9941 31.0
14652 10652 4.0
14652 10662 5.0
14652 2833 13.0
14652 14660 4.0
14652 15436 5.0
14652 14037 80.0
14652 15328 19.0
14652 22534 7.0
14652 3922 5.0
14652 6 1.0
14652 16237 15.0
14652 16958 1.0
14652 17501 1.0
14652 17526 2.0
14652 22197 34.0
14652 9717 1.0
14652 12703 1.0
14652 14919 1.0
14652 2141 7.0
14652 13923 22.0
14652 4023 7.0
14652 18506 2.0
14652 19116 1.0
14652 2725 3.0
14652 4980 4.0
14652 17321 6.0
14652 12024 4.0
14652 13564 1.0
14652 22199 14.0
14652 21178 4.0
14652 11336 25.0
14652 7093 2.0
14652 8992 17.0
14652 3276 2.0
14652 3592 3.0
14652 9944 2.0
14652 14544 2.0
14652 14183 1.0
14652 14936 1.0
14652 15933 2.0
14652 18700 3.0
14652 10312 2.0
14652 285 12.0
14652 4598 12.0
14652 21526 3.0
14652 4009 1.0
14652 4596 1.0
14652 7270 1.0
14652 10252 2.0
14652 889 52.0
14652 11272 2.0
14652 11706 17.0
14652 1713 4.0
14652 3151 5.0
14652 12084 9.0
14652 9164 5.0
14652 5595 25.0
14652 8856 12.0
14652 15013 4.0
14652 2588 4.0
14652 22622 20.0
14652 1616 5.0
14652 3912 1.0
14652 6141 1.0
14652 7435 7.0
14652 11103 6.0
14652 21403 4.0
14652 2912 9.0
14652 5455 2.0
14652 3283 8.0
14652 12049 1.0
14652 13344 1.0
14652 18208 13.0
14652 18584 8.0
14652 19031 8.0
14652 11741 9.0
14652 9157 4.0
14652 2584 1.0
14652 7145 3.0
14652 1949 20.0
14652 2108 1.0
14652 6134 1.0
14652 9586 7.0
14652 10886 1.0
14652 14497 1.0
14652 15920 1.0
